sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
163;BME280;3946;48.958;8.284;2022-02-28T00:02:00;101911.22;;;1.79;78.64
163;BME280;3946;48.958;8.284;2022-02-28T00:04:45;101915.47;;;1.88;77.90
163;BME280;3946;48.958;8.284;2022-02-28T00:07:31;101917.16;;;1.87;78.00
163;BME280;3946;48.958;8.284;2022-02-28T00:10:17;101916.34;;;1.67;79.06
163;BME280;3946;48.958;8.284;2022-02-28T00:13:03;101917.22;;;1.69;79.37
163;BME280;3946;48.958;8.284;2022-02-28T00:15:48;101915.47;;;1.82;78.04
163;BME280;3946;48.958;8.284;2022-02-28T00:18:35;101917.16;;;1.81;78.26
163;BME280;3946;48.958;8.284;2022-02-28T00:21:21;101921.47;;;1.68;79.17
163;BME280;3946;48.958;8.284;2022-02-28T00:24:07;101903.63;;;1.58;78.57
163;BME280;3946;48.958;8.284;2022-02-28T00:26:52;101906.16;;;1.52;80.36
163;BME280;3946;48.958;8.284;2022-02-28T00:29:38;101908.69;;;1.67;79.38
163;BME280;3946;48.958;8.284;2022-02-28T00:32:24;101908.72;;;1.55;79.48
163;BME280;3946;48.958;8.284;2022-02-28T00:35:11;101907.00;;;1.63;79.09
163;BME280;3946;48.958;8.284;2022-02-28T00:37:56;101906.16;;;1.61;80.03
163;BME280;3946;48.958;8.284;2022-02-28T00:40:42;101901.88;;;1.67;79.14
163;BME280;3946;48.958;8.284;2022-02-28T00:43:27;101884.84;;;1.72;78.72
163;BME280;3946;48.958;8.284;2022-02-28T00:46:13;101890.78;;;1.82;77.99
163;BME280;3946;48.958;8.284;2022-02-28T00:48:58;101885.59;;;2.08;77.26
163;BME280;3946;48.958;8.284;2022-02-28T00:51:46;101887.25;;;2.12;76.58
163;BME280;3946;48.958;8.284;2022-02-28T00:54:31;101880.44;;;2.14;76.83
163;BME280;3946;48.958;8.284;2022-02-28T00:57:16;101875.28;;;2.22;76.18
163;BME280;3946;48.958;8.284;2022-02-28T01:00:03;101870.16;;;2.26;76.21
163;BME280;3946;48.958;8.284;2022-02-28T01:02:49;101877.84;;;2.19;76.71
163;BME280;3946;48.958;8.284;2022-02-28T01:05:35;101880.41;;;2.17;76.95
163;BME280;3946;48.958;8.284;2022-02-28T01:08:22;101881.25;;;2.21;76.16
163;BME280;3946;48.958;8.284;2022-02-28T01:11:08;101894.06;;;2.19;76.67
163;BME280;3946;48.958;8.284;2022-02-28T01:13:53;101899.22;;;2.10;76.32
163;BME280;3946;48.958;8.284;2022-02-28T01:16:38;101887.44;;;1.47;79.76
163;BME280;3946;48.958;8.284;2022-02-28T01:19:24;101904.50;;;1.25;81.73
163;BME280;3946;48.958;8.284;2022-02-28T01:22:09;101899.38;;;1.00;83.28
163;BME280;3946;48.958;8.284;2022-02-28T01:24:57;101900.22;;;1.02;84.53
163;BME280;3946;48.958;8.284;2022-02-28T01:27:42;101902.75;;;0.83;86.42
163;BME280;3946;48.958;8.284;2022-02-28T01:30:27;101900.19;;;0.61;88.03
163;BME280;3946;48.958;8.284;2022-02-28T01:33:13;101901.00;;;0.50;89.12
163;BME280;3946;48.958;8.284;2022-02-28T01:35:58;101910.31;;;0.32;90.46
163;BME280;3946;48.958;8.284;2022-02-28T01:38:44;101896.69;;;0.33;92.40
163;BME280;3946;48.958;8.284;2022-02-28T01:41:31;101895.81;;;0.19;93.63
163;BME280;3946;48.958;8.284;2022-02-28T01:44:16;101900.13;;;0.32;94.18
163;BME280;3946;48.958;8.284;2022-02-28T01:47:02;101899.31;;;0.52;93.16
163;BME280;3946;48.958;8.284;2022-02-28T01:49:48;101906.94;;;0.44;93.31
163;BME280;3946;48.958;8.284;2022-02-28T01:52:33;101895.84;;;0.24;94.39
163;BME280;3946;48.958;8.284;2022-02-28T01:55:21;101899.25;;;0.35;96.06
163;BME280;3946;48.958;8.284;2022-02-28T01:58:08;101898.38;;;0.16;96.55
163;BME280;3946;48.958;8.284;2022-02-28T02:00:53;101901.81;;;0.32;98.51
163;BME280;3946;48.958;8.284;2022-02-28T02:03:39;101906.06;;;0.30;100.00
163;BME280;3946;48.958;8.284;2022-02-28T02:06:25;101900.13;;;0.32;100.00
163;BME280;3946;48.958;8.284;2022-02-28T02:09:11;101900.06;;;0.23;100.00
163;BME280;3946;48.958;8.284;2022-02-28T02:11:57;101900.97;;;0.28;100.00
163;BME280;3946;48.958;8.284;2022-02-28T02:14:45;101906.06;;;0.38;100.00
163;BME280;3946;48.958;8.284;2022-02-28T02:17:30;101899.22;;;0.24;100.00
163;BME280;3946;48.958;8.284;2022-02-28T02:20:37;101900.09;;;0.26;100.00
163;BME280;3946;48.958;8.284;2022-02-28T02:23:22;101900.97;;;0.30;100.00
163;BME280;3946;48.958;8.284;2022-02-28T02:26:11;101905.19;;;0.28;99.90
163;BME280;3946;48.958;8.284;2022-02-28T02:29:00;101895.00;;;0.26;98.92
163;BME280;3946;48.958;8.284;2022-02-28T02:31:45;101908.56;;;0.22;98.77
163;BME280;3946;48.958;8.284;2022-02-28T02:34:30;101903.50;;;0.28;97.59
163;BME280;3946;48.958;8.284;2022-02-28T02:37:17;101906.91;;;0.38;97.98
163;BME280;3946;48.958;8.284;2022-02-28T02:40:03;101898.44;;;0.39;97.03
163;BME280;3946;48.958;8.284;2022-02-28T02:42:49;101892.50;;;0.45;96.54
163;BME280;3946;48.958;8.284;2022-02-28T02:45:35;101880.56;;;0.33;96.16
163;BME280;3946;48.958;8.284;2022-02-28T02:48:21;101881.47;;;0.49;96.11
163;BME280;3946;48.958;8.284;2022-02-28T02:51:30;101878.91;;;0.53;95.66
163;BME280;3946;48.958;8.284;2022-02-28T02:54:17;101883.16;;;0.54;94.63
163;BME280;3946;48.958;8.284;2022-02-28T02:57:04;101882.31;;;0.54;94.67
163;BME280;3946;48.958;8.284;2022-02-28T02:59:49;101878.94;;;0.65;94.21
163;BME280;3946;48.958;8.284;2022-02-28T03:02:36;101879.81;;;0.63;93.64
163;BME280;3946;48.958;8.284;2022-02-28T03:05:23;101877.25;;;0.64;92.80
163;BME280;3946;48.958;8.284;2022-02-28T03:08:09;101877.22;;;0.52;93.31
163;BME280;3946;48.958;8.284;2022-02-28T03:10:56;101883.19;;;0.56;93.64
163;BME280;3946;48.958;8.284;2022-02-28T03:13:41;101883.19;;;0.59;92.53
163;BME280;3946;48.958;8.284;2022-02-28T03:16:27;101892.50;;;0.52;93.27
163;BME280;3946;48.958;8.284;2022-02-28T03:19:12;101889.09;;;0.32;94.98
163;BME280;3946;48.958;8.284;2022-02-28T03:22:03;101859.22;;;0.04;95.35
163;BME280;3946;48.958;8.284;2022-02-28T03:24:52;101886.47;;;0.21;96.11
163;BME280;3946;48.958;8.284;2022-02-28T03:27:39;101883.94;;;0.23;96.52
163;BME280;3946;48.958;8.284;2022-02-28T03:30:27;101894.13;;;0.23;96.21
163;BME280;3946;48.958;8.284;2022-02-28T03:33:13;101887.34;;;0.26;97.16
163;BME280;3946;48.958;8.284;2022-02-28T03:35:59;101888.22;;;0.28;97.16
163;BME280;3946;48.958;8.284;2022-02-28T03:38:45;101888.19;;;0.27;97.50
163;BME280;3946;48.958;8.284;2022-02-28T03:41:31;101886.50;;;0.26;97.33
163;BME280;3946;48.958;8.284;2022-02-28T03:44:18;101889.03;;;0.23;97.58
163;BME280;3946;48.958;8.284;2022-02-28T03:47:04;101883.94;;;0.26;98.12
163;BME280;3946;48.958;8.284;2022-02-28T03:50:10;101876.28;;;0.24;97.67
163;BME280;3946;48.958;8.284;2022-02-28T03:52:56;101866.94;;;0.14;97.87
163;BME280;3946;48.958;8.284;2022-02-28T03:55:46;101878.84;;;0.24;98.00
163;BME280;3946;48.958;8.284;2022-02-28T03:58:31;101876.31;;;0.27;97.80
163;BME280;3946;48.958;8.284;2022-02-28T04:01:24;101878.81;;;0.20;98.35
163;BME280;3946;48.958;8.284;2022-02-28T04:04:13;101877.97;;;0.19;97.77
163;BME280;3946;48.958;8.284;2022-02-28T04:06:58;101876.28;;;0.14;98.23
163;BME280;3946;48.958;8.284;2022-02-28T04:09:45;101879.66;;;0.10;97.76
163;BME280;3946;48.958;8.284;2022-02-28T04:12:31;101861.78;;;-0.01;98.85
163;BME280;3946;48.958;8.284;2022-02-28T04:15:17;101879.63;;;0.07;99.66
163;BME280;3946;48.958;8.284;2022-02-28T04:18:03;101881.31;;;0.05;98.76
