sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
163;BME280;3946;48.958;8.284;2023-03-04T00:01:39;101197.16;;;-0.36;97.92
163;BME280;3946;48.958;8.284;2023-03-04T00:04:24;101194.63;;;-0.39;98.77
163;BME280;3946;48.958;8.284;2023-03-04T00:07:09;101201.50;;;-0.53;99.84
163;BME280;3946;48.958;8.284;2023-03-04T00:09:55;101205.63;;;-0.32;100.00
163;BME280;3946;48.958;8.284;2023-03-04T00:12:40;101208.78;;;0.08;100.00
163;BME280;3946;48.958;8.284;2023-03-04T00:15:26;101198.31;;;0.43;100.00
163;BME280;3946;48.958;8.284;2023-03-04T00:18:11;101201.47;;;0.69;99.40
163;BME280;3946;48.958;8.284;2023-03-04T00:20:56;101201.38;;;0.80;98.74
163;BME280;3946;48.958;8.284;2023-03-04T00:23:41;101200.72;;;0.58;99.74
163;BME280;3946;48.958;8.284;2023-03-04T00:26:26;101200.84;;;0.43;99.34
163;BME280;3946;48.958;8.284;2023-03-04T00:29:11;101199.59;;;0.83;99.85
163;BME280;3946;48.958;8.284;2023-03-04T00:31:57;101202.09;;;0.92;99.82
163;BME280;3946;48.958;8.284;2023-03-04T00:34:43;101203.66;;;1.02;99.11
163;BME280;3946;48.958;8.284;2023-03-04T00:37:28;101200.16;;;1.13;98.37
163;BME280;3946;48.958;8.284;2023-03-04T00:40:13;101199.41;;;1.04;98.25
163;BME280;3946;48.958;8.284;2023-03-04T00:42:58;101200.13;;;1.14;97.73
163;BME280;3946;48.958;8.284;2023-03-04T00:45:43;101201.78;;;1.20;97.64
163;BME280;3946;48.958;8.284;2023-03-04T00:48:29;101208.75;;;1.05;98.02
163;BME280;3946;48.958;8.284;2023-03-04T00:51:14;101202.75;;;1.08;98.73
163;BME280;3946;48.958;8.284;2023-03-04T00:53:59;101203.00;;;0.85;99.17
163;BME280;3946;48.958;8.284;2023-03-04T00:56:44;101204.97;;;0.56;99.14
163;BME280;3946;48.958;8.284;2023-03-04T00:59:29;101208.53;;;0.40;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:02:14;101208.56;;;0.35;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:05:00;101208.69;;;0.18;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:07:45;101208.88;;;-0.11;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:10:30;101213.97;;;-0.08;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:13:16;101212.31;;;-0.15;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:16:01;101215.75;;;-0.17;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:18:49;101220.69;;;0.01;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:21:35;101214.91;;;-0.22;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:24:20;101225.94;;;-0.23;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:27:04;101209.75;;;-0.13;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:29:49;101210.59;;;-0.16;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:32:34;101212.25;;;-0.03;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:35:19;101208.88;;;-0.11;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:38:05;101210.59;;;-0.13;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:40:50;101199.44;;;0.05;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:43:35;101202.09;;;-0.07;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:46:21;101208.00;;;-0.04;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:49:08;101201.84;;;0.23;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:51:56;101205.22;;;0.30;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:54:42;101193.53;;;0.02;100.00
163;BME280;3946;48.958;8.284;2023-03-04T01:57:27;101191.81;;;0.05;100.00
163;BME280;3946;48.958;8.284;2023-03-04T02:00:22;101197.09;;;-0.27;100.00
163;BME280;3946;48.958;8.284;2023-03-04T02:03:09;101197.19;;;-0.41;100.00
163;BME280;3946;48.958;8.284;2023-03-04T02:05:55;101196.34;;;-0.41;100.00
163;BME280;3946;48.958;8.284;2023-03-04T02:08:40;101194.72;;;-0.60;100.00
163;BME280;3946;48.958;8.284;2023-03-04T02:11:26;101188.00;;;-0.78;100.00
