sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
948;SDS011;461;51.436;7.312;2022-11-10T10:44:23;11.73;;;3.83;;
948;SDS011;461;51.436;7.312;2022-11-10T10:46:59;8.70;;;2.77;;
948;SDS011;461;51.436;7.312;2022-11-10T10:49:28;11.40;;;2.63;;
948;SDS011;461;51.436;7.312;2022-11-10T10:52:01;14.10;;;3.30;;
948;SDS011;461;51.436;7.312;2022-11-10T10:54:31;12.53;;;3.77;;
948;SDS011;461;51.436;7.312;2022-11-10T10:57:12;12.47;;;3.13;;
948;SDS011;461;51.436;7.312;2022-11-10T10:59:42;10.03;;;3.20;;
948;SDS011;461;51.436;7.312;2022-11-10T11:02:42;10.37;;;2.93;;
948;SDS011;461;51.436;7.312;2022-11-10T11:05:16;8.10;;;2.40;;
948;SDS011;461;51.436;7.312;2022-11-10T11:07:56;11.57;;;2.70;;
948;SDS011;461;51.436;7.312;2022-11-10T11:10:24;8.83;;;2.30;;
948;SDS011;461;51.436;7.312;2022-11-10T11:12:50;9.03;;;3.20;;
948;SDS011;461;51.436;7.312;2022-11-10T11:15:24;12.73;;;4.23;;
948;SDS011;461;51.436;7.312;2022-11-10T11:17:54;10.63;;;3.03;;
948;SDS011;461;51.436;7.312;2022-11-10T11:20:24;10.07;;;2.70;;
948;SDS011;461;51.436;7.312;2022-11-10T11:23:37;6.77;;;2.93;;
948;SDS011;461;51.436;7.312;2022-11-10T11:25:43;13.80;;;3.83;;
948;SDS011;461;51.436;7.312;2022-11-10T11:36:05;11.57;;;3.57;;
948;SDS011;461;51.436;7.312;2022-11-10T11:49:26;7.53;;;3.37;;
948;SDS011;461;51.436;7.312;2022-11-10T11:56:51;10.00;;;2.80;;
948;SDS011;461;51.436;7.312;2022-11-10T12:07:37;6.40;;;2.73;;
948;SDS011;461;51.436;7.312;2022-11-10T12:15:44;8.43;;;2.50;;
948;SDS011;461;51.436;7.312;2022-11-10T12:18:18;8.93;;;5.23;;
948;SDS011;461;51.436;7.312;2022-11-10T12:29:14;7.60;;;2.23;;
948;SDS011;461;51.436;7.312;2022-11-10T12:31:41;6.50;;;2.40;;
948;SDS011;461;51.436;7.312;2022-11-10T12:36:45;7.50;;;2.43;;
948;SDS011;461;51.436;7.312;2022-11-10T12:39:22;7.73;;;2.70;;
948;SDS011;461;51.436;7.312;2022-11-10T12:47:21;7.20;;;2.20;;
948;SDS011;461;51.436;7.312;2022-11-10T12:49:52;16.67;;;2.57;;
948;SDS011;461;51.436;7.312;2022-11-10T12:55:02;6.07;;;2.10;;
948;SDS011;461;51.436;7.312;2022-11-10T12:57:29;5.77;;;2.07;;
948;SDS011;461;51.436;7.312;2022-11-10T13:02:39;7.43;;;2.17;;
948;SDS011;461;51.436;7.312;2022-11-10T13:07:42;7.47;;;2.37;;
948;SDS011;461;51.436;7.312;2022-11-10T13:10:20;6.03;;;2.23;;
948;SDS011;461;51.436;7.312;2022-11-10T13:12:57;6.77;;;2.10;;
948;SDS011;461;51.436;7.312;2022-11-10T13:15:58;8.90;;;2.17;;
948;SDS011;461;51.436;7.312;2022-11-10T13:20:56;5.50;;;2.50;;
948;SDS011;461;51.436;7.312;2022-11-10T13:25:55;10.63;;;3.10;;
948;SDS011;461;51.436;7.312;2022-11-10T13:36:39;7.43;;;1.70;;
948;SDS011;461;51.436;7.312;2022-11-10T13:42:02;5.17;;;2.73;;
948;SDS011;461;51.436;7.312;2022-11-10T13:44:29;6.13;;;2.00;;
948;SDS011;461;51.436;7.312;2022-11-10T13:49:36;7.50;;;2.13;;
948;SDS011;461;51.436;7.312;2022-11-10T13:59:49;5.93;;;1.90;;
948;SDS011;461;51.436;7.312;2022-11-10T14:05:00;4.43;;;1.90;;
948;SDS011;461;51.436;7.312;2022-11-10T14:07:27;6.30;;;1.87;;
948;SDS011;461;51.436;7.312;2022-11-10T14:09:54;9.93;;;2.27;;
948;SDS011;461;51.436;7.312;2022-11-10T14:13:03;4.17;;;1.40;;
948;SDS011;461;51.436;7.312;2022-11-10T14:15:20;6.63;;;1.90;;
948;SDS011;461;51.436;7.312;2022-11-10T14:17:48;10.43;;;2.30;;
948;SDS011;461;51.436;7.312;2022-11-10T14:23:00;6.63;;;1.90;;
948;SDS011;461;51.436;7.312;2022-11-10T14:25:34;6.03;;;2.80;;
948;SDS011;461;51.436;7.312;2022-11-10T14:28:02;8.87;;;1.70;;
948;SDS011;461;51.436;7.312;2022-11-10T14:30:29;10.43;;;3.20;;
948;SDS011;461;51.436;7.312;2022-11-10T14:32:58;5.20;;;1.70;;
948;SDS011;461;51.436;7.312;2022-11-10T14:35:26;5.13;;;1.97;;
