sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
92;SDS011;16232;48.800;9.002;2022-10-23T00:00:25;6.63;;;4.43;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:02:53;9.73;;;5.67;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:05:21;7.73;;;4.83;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:07:49;5.37;;;3.80;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:10:16;8.77;;;6.03;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:12:44;7.60;;;4.40;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:15:13;7.80;;;4.60;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:17:40;6.20;;;4.13;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:20:08;6.37;;;4.40;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:22:35;6.93;;;4.70;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:25:03;7.27;;;4.30;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:27:31;8.30;;;4.60;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:29:58;5.57;;;4.07;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:32:27;7.90;;;4.67;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:34:54;8.57;;;5.37;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:37:21;8.27;;;4.70;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:39:49;6.83;;;4.73;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:42:16;7.70;;;5.40;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:47:31;8.83;;;6.43;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:49:58;6.00;;;4.07;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:52:26;8.53;;;5.50;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:54:53;5.57;;;4.20;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:57:21;7.90;;;5.00;;
92;SDS011;16232;48.800;9.002;2022-10-23T00:59:49;6.23;;;3.97;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:02:19;7.77;;;4.83;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:04:47;9.53;;;5.87;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:07:16;7.73;;;4.63;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:09:48;9.13;;;4.60;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:12:22;6.93;;;4.93;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:14:52;10.93;;;6.23;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:17:23;9.83;;;5.17;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:19:58;10.87;;;4.47;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:22:32;5.27;;;4.67;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:25:06;8.47;;;5.50;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:27:41;7.40;;;4.60;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:30:09;6.60;;;4.90;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:32:40;7.57;;;4.03;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:35:13;8.60;;;4.93;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:37:41;5.70;;;4.33;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:40:12;7.83;;;6.37;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:42:43;5.80;;;4.63;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:45:13;11.47;;;4.53;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:47:43;8.90;;;5.40;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:50:12;4.63;;;4.23;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:52:40;7.70;;;4.07;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:55:08;7.40;;;4.40;;
92;SDS011;16232;48.800;9.002;2022-10-23T01:57:36;5.57;;;4.00;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:00:08;5.27;;;3.80;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:02:36;7.57;;;4.70;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:05:05;7.63;;;4.43;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:07:33;5.53;;;4.60;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:10:02;8.20;;;4.57;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:12:31;8.13;;;5.33;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:15:02;8.33;;;4.20;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:17:36;6.07;;;4.00;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:20:11;5.03;;;4.00;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:22:40;6.47;;;3.60;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:25:10;5.80;;;3.83;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:27:39;6.10;;;5.47;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:30:07;5.93;;;3.57;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:32:37;5.20;;;4.20;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:35:06;8.47;;;4.03;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:37:33;9.07;;;4.20;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:40:01;4.70;;;3.77;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:42:29;7.60;;;3.93;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:45:02;8.47;;;4.13;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:47:34;4.63;;;3.63;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:50:06;6.67;;;3.90;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:52:37;3.77;;;3.47;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:55:10;5.17;;;3.57;;
92;SDS011;16232;48.800;9.002;2022-10-23T02:57:41;5.87;;;3.87;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:00:11;6.40;;;3.53;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:02:39;7.27;;;3.80;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:05:09;5.03;;;3.93;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:07:38;5.23;;;4.17;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:10:06;4.27;;;3.63;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:12:33;7.97;;;5.63;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:15:01;6.27;;;3.50;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:17:28;5.53;;;4.37;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:19:55;4.87;;;3.70;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:22:24;6.63;;;5.20;;
92;SDS011;16232;48.800;9.002;2022-10-23T03:24:51;6.90;;;3.87;;
