sensor_id;sensor_type;location;lat;lon;timestamp;P1;P2;P0
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:02:23;21.00;19.25;14.25
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:04:53;22.33;22.33;12.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:10:27;17.50;13.75;8.75
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:12:54;15.75;15.00;9.25
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:15:20;18.50;17.50;10.25
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:17:47;15.25;14.50;10.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:20:14;18.00;16.50;11.25
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:22:43;18.50;17.75;12.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:25:09;17.25;15.25;11.50
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:27:36;15.25;14.75;10.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:30:03;15.50;14.75;10.75
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:32:30;15.25;15.25;10.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:34:56;14.25;13.25;8.50
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:37:23;18.00;18.00;9.75
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:39:50;15.75;15.75;9.75
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:42:16;17.00;16.25;10.50
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:44:43;10.75;10.75;7.50
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:47:10;15.75;15.50;9.50
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:49:37;19.25;18.75;12.50
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:52:03;18.25;17.50;12.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:54:30;16.75;16.75;10.25
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:56:57;16.00;16.00;10.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T00:59:24;18.00;17.50;10.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:01:50;13.75;13.75;8.75
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:04:17;17.25;15.75;9.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:06:44;13.75;13.00;9.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:09:11;17.25;15.00;9.75
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:11:38;16.50;15.50;11.25
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:14:05;16.25;16.25;10.75
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:16:32;15.75;15.75;11.50
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:18:58;17.50;16.50;10.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:21:25;18.75;17.75;9.50
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:23:53;13.75;12.50;7.75
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:26:20;14.50;14.50;8.75
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:28:50;14.00;13.00;8.25
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:31:18;13.25;13.00;8.25
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:33:46;12.75;12.75;8.25
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:36:14;12.50;12.50;8.00
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:38:43;10.00;10.00;8.25
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:41:11;17.25;16.50;8.75
77499;PMS5003;66604;44.26772140;19.88400930;2023-01-02T01:43:44;11.25;11.25;7.25
