sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
92;SDS011;16232;48.800;9.002;2022-05-18T05:58:44;7.67;;;3.97;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:01:13;4.70;;;3.30;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:03:41;4.37;;;3.57;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:06:08;6.13;;;3.80;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:08:36;4.17;;;3.20;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:11:06;4.57;;;3.67;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:13:34;3.73;;;3.33;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:16:03;3.90;;;3.50;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:18:35;4.27;;;3.57;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:21:04;3.80;;;3.03;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:23:31;5.77;;;3.37;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:25:59;3.70;;;2.90;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:28:27;4.13;;;2.90;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:30:55;3.70;;;2.70;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:33:23;3.20;;;2.47;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:35:51;4.73;;;4.33;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:38:18;4.27;;;3.10;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:40:46;4.13;;;2.67;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:43:31;3.70;;;2.60;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:45:59;5.43;;;2.67;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:48:28;4.23;;;2.90;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:50:55;3.87;;;2.37;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:53:22;4.87;;;2.57;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:55:50;4.07;;;2.40;;
92;SDS011;16232;48.800;9.002;2022-05-18T06:58:17;4.20;;;2.27;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:00:44;3.17;;;2.10;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:03:12;2.70;;;2.20;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:05:41;2.47;;;2.23;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:08:08;2.77;;;2.47;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:10:36;3.47;;;2.20;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:13:04;2.23;;;2.00;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:15:32;2.60;;;1.90;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:17:59;2.50;;;2.00;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:20:26;2.90;;;2.33;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:22:56;4.03;;;2.33;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:25:23;2.27;;;1.90;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:27:50;2.73;;;2.10;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:30:18;3.57;;;2.10;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:32:45;3.10;;;1.93;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:35:12;3.90;;;2.27;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:37:40;2.37;;;1.97;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:40:09;2.30;;;2.00;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:42:36;4.17;;;2.07;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:45:04;4.40;;;2.20;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:47:32;3.03;;;2.07;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:50:00;3.93;;;1.97;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:52:28;2.57;;;2.37;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:54:55;3.63;;;2.00;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:57:24;4.10;;;2.30;;
92;SDS011;16232;48.800;9.002;2022-05-18T07:59:54;6.45;;;2.42;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:02:24;3.27;;;2.20;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:04:52;4.17;;;2.20;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:07:19;2.30;;;2.10;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:09:47;2.67;;;1.87;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:12:33;2.33;;;1.93;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:15:18;3.03;;;2.17;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:17:46;2.83;;;1.80;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:20:15;2.92;;;2.40;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:22:42;3.50;;;2.13;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:25:10;2.42;;;2.22;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:27:40;3.78;;;2.20;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:30:09;3.22;;;2.40;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:32:37;3.35;;;2.80;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:35:04;2.97;;;2.55;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:37:36;2.72;;;2.05;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:40:04;2.42;;;2.00;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:42:32;3.70;;;1.80;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:45:01;4.03;;;2.30;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:47:31;2.75;;;2.08;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:50:03;1.88;;;1.77;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:52:39;2.88;;;2.05;;
92;SDS011;16232;48.800;9.002;2022-05-18T08:55:22;2.03;;;1.92;;
