sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
92;SDS011;16232;48.800;9.002;2022-02-17T00:00:47;0.23;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:03:16;0.10;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:05:43;0.00;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:08:10;0.03;;;0.03;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:10:38;0.00;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:13:05;0.10;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:15:33;0.10;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:18:08;0.40;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:20:37;0.10;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:23:05;0.00;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:25:32;0.00;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:27:59;0.00;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:30:26;0.00;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:32:54;1.80;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:35:22;0.10;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:37:50;0.03;;;0.03;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:40:18;0.10;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:42:45;0.43;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:45:13;0.63;;;0.20;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:47:40;0.13;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:50:08;0.27;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:52:35;0.00;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:55:04;0.20;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:57:32;0.00;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T00:59:59;0.10;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:02:26;1.20;;;0.30;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:04:53;0.97;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:07:21;0.17;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:09:48;0.00;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:12:17;0.30;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:14:44;0.20;;;0.20;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:17:11;0.50;;;0.20;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:19:38;1.20;;;0.20;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:22:06;0.40;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:24:33;0.20;;;0.00;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:27:00;0.10;;;0.10;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:29:29;0.20;;;0.20;;
92;SDS011;16232;48.800;9.002;2022-02-17T01:31:56;0.10;;;0.10;;
